"","Month","Site","Survey","Taxa","Growth_form","Size","Syndrome","Disease_type","Acute","Chronic","Severity","Paling","Recent_overgrowth","Old_overgrowth","Partial_mortality","GA","GA_area","Black_disease_signs"
"1","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"2","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"3","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"4","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"5","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"6","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"7","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"8","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"9","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"10","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Diseased",20,"No",NA,NA,NA,"No",NA,""
"11","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"12","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"13","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"14","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"15","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"16","2022_April","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"17","2022_April","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",7,"No",NA,NA,NA,"No",NA,""
"18","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",5,""
"19","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"20","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"21","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"22","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"23","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"24","2022_April","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",4,"No",NA,NA,NA,"No",NA,""
"25","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"26","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"27","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"28","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",18,""
"29","2022_April","Cem","1","Acro","Plating","Large","Diseased","Acute","Diseased","Healthy",5,"No",NA,NA,NA,"No",NA,""
"30","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"31","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"32","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"33","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"34","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"35","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"36","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"37","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"38","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"39","2022_April","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"40","2022_April","Cem","1","Acro","Plating","Small","Diseased","Acute","Diseased","Healthy",10,"No",NA,NA,NA,"No",NA,""
"41","2022_April","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"42","2022_September","Cem","1","Acro","Plating","Small","Diseased","Healthy","Healthy","Healthy",NA,"Yes",NA,NA,NA,"No",NA,""
"43","2022_September","Cem","1","Acro","Plating","Small","Diseased","Healthy","Healthy","Healthy",NA,"Yes",NA,NA,NA,"No",NA,""
"44","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"45","2022_September","Cem","1","Acro","Plating","Small","Diseased","Healthy","Healthy","Healthy",NA,"Yes",NA,NA,NA,"No",NA,""
"46","2022_September","Cem","1","Acro","Plating","Large","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"47","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"48","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"49","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"50","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"51","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"52","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"53","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"54","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"55","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"56","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"57","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",18,""
"58","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"59","2022_September","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",5,"No",NA,NA,NA,"No",NA,""
"60","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"61","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"62","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"63","2022_September","Cem","1","Acro","Plating","Medium","Diseased","Chronic","Healthy","Diseased",30,"No",NA,NA,NA,"No",NA,""
"64","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"65","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"66","2022_September","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",24,"No",NA,NA,NA,"No",NA,""
"67","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"68","2022_September","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",4,"No",NA,NA,NA,"No",NA,""
"69","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"70","2022_September","Cem","1","Acro","Plating","Large","Diseased","Diseased","Diseased","Healthy",6,"No",NA,NA,NA,"No",NA,""
"71","2022_September","Cem","1","Acro","Plating","Large","Diseased","Chronic","Healthy","Diseased",28,"No",NA,NA,NA,"No",NA,""
"72","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"73","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"74","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"75","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"76","2022_September","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",4,"No",NA,NA,NA,"No",NA,""
"77","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"78","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"79","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"80","2022_September","Cem","1","Acro","Plating","Small","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"81","2022_September","Cem","1","Acro","Plating","Small","Diseased","Acute","Diseased","Healthy",9,"No",NA,NA,NA,"No",NA,""
"82","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"83","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"84","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"85","2022_September","Cem","1","Acro","Plating","Medium","Healthy","Healthy","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"86","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",52,3,49,NA,NA,""
"87","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"88","2022_December","Cem","1","Acro","Plating","Small","Healthy",NA,"Healthy","Healthy",NA,"No",3,3,0,NA,NA,""
"89","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",15,3,12,NA,NA,""
"90","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",35,6,29,NA,NA,""
"91","2022_December","Cem","1","Acro","Plating","Small","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"92","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",59,4,55,NA,NA,""
"93","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"94","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",57,0,57,NA,NA,""
"95","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",6,6,0,NA,NA,""
"96","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",39,5,34,NA,NA,""
"97","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",22,10,12,NA,NA,""
"98","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",5,5,0,NA,NA,""
"99","2022_December","Cem","1","Acro","Plating","Medium","Diseased","Chronic","Healthy","Diseased",65,"Yes",33,5,28,NA,NA,"Yes"
"100","2022_December","Cem","1","Acro","Plating","Small","Diseased","Chronic","Healthy","Diseased",55,"No",42,10,32,NA,NA,""
"101","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",8,0,8,NA,NA,""
"102","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",68,12,56,NA,NA,""
"103","2022_December","Cem","1","Acro","Plating","Medium","Diseased",NA,"Healthy","Healthy",5,"No",49,13,36,NA,NA,""
"104","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"105","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",13,3,10,NA,NA,""
"106","2022_December","Cem","1","Acro","Plating","Small","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"107","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",8,8,0,NA,NA,""
"108","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",55,0,55,NA,NA,""
"109","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",5,5,0,NA,NA,""
"110","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",0,0,0,NA,NA,""
"111","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",6,6,0,NA,NA,""
"112","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",19,6,13,NA,NA,""
"113","2022_December","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",4,"No",8,5,3,NA,NA,""
"114","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",4,0,4,NA,NA,""
"115","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",40,5,35,NA,NA,""
"116","2022_December","Cem","1","Acro","Plating","Small","Diseased","Acute","Diseased","Healthy",9,"No",50,4,46,NA,NA,""
"117","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",25,4,21,NA,NA,""
"118","2022_December","Cem","1","Acro","Plating","Small","Healthy",NA,"Healthy","Healthy",NA,"No",4,4,0,NA,NA,""
"119","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",5,5,0,NA,NA,""
"120","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",6,0,6,NA,NA,""
"121","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",18,5,13,NA,NA,""
"122","2022_December","Cem","1","Acro","Plating","Large","Healthy",NA,"Healthy","Healthy",NA,"No",38,0,38,"Yes",5,""
"123","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",26,0,26,NA,NA,""
"124","2022_December","Cem","1","Acro","Plating","Small","Healthy",NA,"Healthy","Healthy",NA,"No",4,4,0,NA,NA,""
"125","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",10,6,4,NA,NA,""
"126","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",3,0,3,NA,NA,""
"127","2022_December","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",16,"No",10,8,2,NA,NA,""
"128","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",36,7,29,NA,NA,""
"129","2022_December","Cem","1","Acro","Plating","Large","Diseased","Acute","Diseased","Healthy",9,"No",28,12,16,NA,NA,""
"130","2022_December","Cem","1","Acro","Plating","Medium","Healthy",NA,"Healthy","Healthy",NA,"No",10,4,6,"Yes",34,""
"131","2022_December","Cem","1","Acro","Plating","Large","Diseased","Acute","Diseased","Healthy",12,"No",18,10,8,NA,NA,""
"132","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"133","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"134","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"135","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"136","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"137","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"138","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"139","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"140","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"141","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"142","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"143","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"144","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"145","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"146","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"147","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"148","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"149","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"150","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"151","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"152","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"153","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"154","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"155","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"156","2023_April","Cem","1","Acro","Plating","Large","Diseased","Acute","Diseased","Healthy",5,"No",NA,NA,NA,"No",NA,""
"157","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"158","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"159","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"160","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"Yes",26,""
"161","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"162","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"163","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"164","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"165","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"166","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"167","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"168","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"169","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"170","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"171","2023_April","Cem","1","Acro","Plating","Large","Diseased","Acute","Diseased","Healthy",4,"No",NA,NA,NA,"No",NA,""
"172","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"173","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"174","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"175","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"176","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"177","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"178","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"179","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"180","2023_April","Cem","1","Acro","Plating","Medium","Diseased","Acute","Diseased","Healthy",6,"No",NA,NA,NA,"No",NA,""
"181","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"182","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"183","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"184","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"185","2023_April","Cem","1","Acro","Plating","Small","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"186","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"187","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"188","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"189","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"190","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"191","2023_April","Cem","1","Acro","Plating","Large","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"192","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
"193","2023_April","Cem","1","Acro","Plating","Medium","Healthy","","Healthy","Healthy",NA,"No",NA,NA,NA,"No",NA,""
