Month,Site,Survey,abundance,Acute_prev_prop,Acute_percent,Acropora_cover,acute_diseased,Chronic_prev_prop,Chronic_percent,chronic_diseased,Paling_prev_prop,Paling_percent,paling_diseased,Total_diseased,Total_prop,Total_prev
April_2021,EB,EB0,5,0.4,40,53.5,2,0.2,20,1,0.2,20,1,4,0.8,80
April_2021,EB,EB05,7,0.285714286,28.57142857,13,2.000000002,0,0,0,0.428571429,42.85714286,3.000000003,5.000000005,0.714285715,71.4285715
April_2021,EB,EB06,2,0.5,50,3.3,1,0,0,0,1,100,2,2,1,100
April_2021,EB,EB07,1,0,0,0,0,0,0,0,0,0,0,0,0,0
April_2021,EB,EB11,9,0.222222222,22.22222222,25.3,1.999999998,0.222222222,22.22222222,1.999999998,0.222222222,22.22222222,1.999999998,5.999999994,0.666666666,66.6666666
April_2021,SB,SB01,10,0,0,21.4,0,0,0,0,0.3,30,3,3,0.3,30
April_2021,SB,SB02,5,0,0,1.7,0,0,0,0,0,0,0,0,0,0
April_2021,SB,SB04,5,0,0,20.8,0,0,0,0,0,0,0,0,0,0
April_2021,SB,SB05,3,0,0,12.5,0,0,0,0,0,0,0,0,0,0
April_2021,SB,SB06,4,0,0,2.9,0,0,0,0,0,0,0,0,0,0
April_2022,EB,EB0,6,0,0,0.75,0,0,0,0,0,0,0,0,0,0
April_2022,EB,EB02,3,0,0,0,0,0,0,0,0,0,0,0,0,0
April_2022,EB,EB05,14,0.285714286,28.57142857,31,4.000000004,0,0,0,0,0,0,4.000000004,0.285714286,28.5714286
April_2022,EB,EB06,13,0.307692308,30.76923077,41.2,4.000000004,0.461538462,46.15384615,6.000000006,0,0,0,10.00000001,0.76923077,76.923077
April_2022,EB,EB07,3,0,0,2.7,0,0.333333333,33.33333333,0.999999999,0.333333333,33.33333333,0.999999999,1.999999998,0.666666666,66.6666666
April_2022,EB,EB11,11,0.090909091,9.090909091,20.2,1.000000001,0,0,0,0,0,0,1.000000001,0.090909091,9.0909091
April_2022,SB,SB01,6,0.166666667,16.66666667,3.2,1.000000002,0.166666667,16.66666667,1.000000002,0.166666667,16.66666667,1.000000002,3.000000006,0.500000001,50.0000001
April_2022,SB,SB03,3,0,0,3.6,0,0,0,0,0,0,0,0,0,0
April_2022,SB,SB04,21,0.476190476,47.61904762,33.6,9.999999996,0,0,0,0.095238095,9.523809524,1.999999995,11.99999999,0.571428571,57.1428571
April_2022,SB,SB05,20,0.4,40,26.2,8,0,0,0,0,0,0,8,0.4,40
April_2022,SB,SB06,7,0.285714286,28.57142857,2.5,2.000000002,0,0,0,0,0,0,2.000000002,0.285714286,28.5714286
Sept_2022,EB,EB0,16,0.4375,43.75,0.7,7,0,0,0,0,0,0,7,0.4375,43.75
Sept_2022,EB,EB02,5,0,0,0.2,0,0,0,0,0,0,0,0,0,0
Sept_2022,EB,EB05,15,0.133333333,13.33333333,29.7,1.999999995,0,0,0,0,0,0,1.999999995,0.133333333,13.3333333
Sept_2022,EB,EB06,7,0.142857143,14.28571429,0.6,1.000000001,0,0,0,0,0,0,1.000000001,0.142857143,14.2857143
Sept_2022,EB,EB07,6,0.166666667,16.66666667,2.6,1.000000002,0,0,0,0,0,0,1.000000002,0.166666667,16.6666667
Sept_2022,EB,EB11,18,0.222222222,22.22222222,0,3.999999996,0,0,0,0,0,0,3.999999996,0.222222222,22.2222222
Sept_2022,SB,SB01,10,0.1,10,0,1,0,0,0,0,0,0,1,0.1,10
Sept_2022,SB,SB02,2,1,100,0,2,0,0,0,0,0,0,2,1,100
Sept_2022,SB,SB03,9,0.555555556,55.55555556,0.8,5.000000004,0,0,0,0,0,0,5.000000004,0.555555556,55.5555556
Sept_2022,SB,SB04,18,0.5,50,0.1,9,0.055555556,5.555555556,1.000000008,0,0,0,10.00000001,0.555555556,55.5555556
Sept_2022,SB,SB05,10,0.4,40,0.1,4,0,0,0,0,0,0,4,0.4,40
Sept_2022,SB,SB06,3,0,0,4.2,0,0,0,0,0,0,0,0,0,0
Dec_2022,EB,EB0,4,0,0,14.1,0,0,0,0,0,0,0,0,0,0
Dec_2022,EB,EB02,6,0.166666667,16.66666667,4.7,1.000000002,0,0,0,0,0,0,1.000000002,0.166666667,16.6666667
Dec_2022,EB,EB05,6,0.333333333,33.33333333,36.2,1.999999998,0,0,0,0,0,0,1.999999998,0.333333333,33.3333333
Dec_2022,EB,EB06,16,0.1875,18.75,32.6,3,0,0,0,0,0,0,3,0.1875,18.75
Dec_2022,EB,EB07,3,0.333333333,33.33333333,0.7,0.999999999,0.333333333,33.33333333,0.999999999,0,0,0,1.999999998,0.666666666,66.6666666
Dec_2022,EB,EB11,4,NA,NA,2.7,NA,0.25,25,1,0,0,0,1,0.25,25
Dec_2022,SB,SB01,7,0.428571429,42.85714286,9.2,3.000000003,0.142857143,14.28571429,1.000000001,0,0,0,4.000000004,0.571428572,57.1428572
Dec_2022,SB,SB02,15,0.133333333,13.33333333,25.11111111,1.999999995,0,0,0,0,0,0,1.999999995,0.133333333,13.3333333
Dec_2022,SB,SB03,10,0.4,40,21.1,4,0,0,0,0,0,0,4,0.4,40
Dec_2022,SB,SB04,6,0,0,3.9,0,0,0,0,0,0,0,0,0,0
Dec_2022,SB,SB05,8,0.25,25,5.9,2,0,0,0,0,0,0,2,0.25,25
Dec_2022,SB,SB06,1,0,0,3.4,0,0,0,0,0,0,0,0,0,0
April_2023,EB,EB0,17,0.058823529,5.882352941,27.4,0.999999993,0,0,0,0,0,0,0.999999993,0.058823529,5.8823529
April_2023,EB,EB02,17,0.411764706,41.17647059,1.5,7.000000002,0,0,0,0,0,0,7.000000002,0.411764706,41.1764706
April_2023,EB,EB05,5,0.4,40,50.1,2,0,0,0,0,0,0,2,0.4,40
April_2023,EB,EB06,8,0.625,62.5,30.3,5,0,0,0,0,0,0,5,0.625,62.5
April_2023,EB,EB07,11,0.090909091,9.090909091,21.6,1.000000001,0,0,0,0,0,0,1.000000001,0.090909091,9.0909091
April_2023,EB,EB11,6,0.333333333,33.33333333,16.4,1.999999998,0,0,0,0.166666667,16.66666667,1.000000002,3,0.5,50
April_2023,SB,SB01,14,0.071428571,7.142857143,24.5,0.999999994,0.142857143,14.28571429,2.000000002,0.071428571,7.142857143,0.999999994,3.99999999,0.285714285,28.5714285
April_2023,SB,SB02,4,0.5,50,3.9,2,0,0,0,0,0,0,2,0.5,50
April_2023,SB,SB03,10,0.2,20,6.4,2,0,0,0,0,0,0,2,0.2,20
April_2023,SB,SB04,4,0,0,23.3,0,0,0,0,0,0,0,0,0,0
April_2023,SB,SB05,19,0.210526316,21.05263158,9.8,4.000000004,0,0,0,0,0,0,4.000000004,0.210526316,21.0526316
April_2023,SB,SB06,4,0,0,3.7,0,0,0,0,0,0,0,0,0,0